Task,Start,Finish,Cores,RequestId
13,2022-04-07 19:52:07.260161,2022-04-07 19:59:33.969297,3,13
14,2022-04-07 19:52:10.594386,2022-04-07 19:59:58.357393,3,14
10.5,2022-04-07 19:51:57.766988,2022-04-07 19:53:32.766988,1,
10.5,2022-04-07 19:53:32.766988,2022-04-07 19:55:00.766988,2,
10.5,2022-04-07 19:55:00.766988,2022-04-07 19:56:26.766988,1,
10.5,2022-04-07 19:56:26.766988,2022-04-07 19:57:52.766988,2,
10.5,2022-04-07 19:57:52.766988,2022-04-07 19:59:18.766988,1,
11.5,2022-04-07 19:52:00.851415,2022-04-07 19:53:34.851415,1,
11.5,2022-04-07 19:53:34.851415,2022-04-07 19:55:00.851415,2,
11.5,2022-04-07 19:55:00.851415,2022-04-07 19:56:26.851415,1,
11.5,2022-04-07 19:56:26.851415,2022-04-07 19:57:52.851415,2,
11.5,2022-04-07 19:57:52.851415,2022-04-07 19:59:19.851415,1,
12,2022-04-07 19:59:33.969204,2022-04-07 19:59:52.149353,8,12
13,2022-04-07 19:59:33.969301,2022-04-07 19:59:52.070563,5,13
13.5,2022-04-07 19:59:33.969301,2022-04-07 20:01:13.969301,1,
13.5,2022-04-07 20:01:13.969301,2022-04-07 20:02:44.969301,2,
13.5,2022-04-07 20:02:44.969301,2022-04-07 20:04:14.969301,1,
13.5,2022-04-07 20:04:14.969301,2022-04-07 20:05:44.969301,2,
13.5,2022-04-07 20:05:44.969301,2022-04-07 20:07:14.969301,1,
12.5,2022-04-07 19:59:33.969204,2022-04-07 20:01:14.969204,1,
12.5,2022-04-07 20:01:14.969204,2022-04-07 20:02:48.969204,2,
12.5,2022-04-07 20:02:48.969204,2022-04-07 20:04:19.969204,1,
12.5,2022-04-07 20:04:19.969204,2022-04-07 20:05:48.969204,2,
12.5,2022-04-07 20:05:48.969204,2022-04-07 20:07:17.969204,1,
14.5,2022-04-07 19:52:10.594386,2022-04-07 19:53:49.594386,1,
14.5,2022-04-07 19:53:49.594386,2022-04-07 19:55:20.594386,2,
14.5,2022-04-07 19:55:20.594386,2022-04-07 19:56:52.594386,1,
14.5,2022-04-07 19:56:52.594386,2022-04-07 19:58:24.594386,2,
14.5,2022-04-07 19:58:24.594386,2022-04-07 19:59:55.594386,1,
15,2022-04-07 20:00:10.973278,2022-04-07 20:01:55.754386,16,15
15.5,2022-04-07 20:00:10.973278,2022-04-07 20:00:35.973278,1,
15.5,2022-04-07 20:00:35.973278,2022-04-07 20:00:54.973278,2,
15.5,2022-04-07 20:00:54.973278,2022-04-07 20:01:14.973278,1,
15.5,2022-04-07 20:01:14.973278,2022-04-07 20:01:33.973278,2,
15.5,2022-04-07 20:01:33.973278,2022-04-07 20:01:51.973278,1,
