Containers, Policy, Asignment Policy, Tf Version, TME, TMR, TMER, Recursos, Productividad, TT 
priority,64,strict,maleable,239.09375 , 31.015625 , 270.109375 , 64.4675925925926 , 142.04685573366214 , 1622.0
priority,64,strict,original,128.1875 , 5.296875 , 133.484375 , 43.70888157894737 , 199.13569576490926 , 1157.0
priority,64,always_attend,maleable,220.015625 , 13.765625 , 233.78125 , 72.56540697674419 , 180.56426332288402 , 1276.0
priority,64,always_attend,original,129.890625 , 5.125 , 135.015625 , 43.91447368421053 , 207.56756756756755 , 1110.0
priority,64,max_prop,maleable,229.734375 , 124.546875 , 354.28125 , 84.02122641509433 , 145.088161209068 , 1588.0
priority,64,max_prop,original,109.671875 , 405.625 , 515.296875 , 84.6774193548387 , 122.94557097118464 , 1874.0
priority,128,strict,maleable,218.4609375 , 94.359375 , 312.8203125 , 82.15361445783132 , 179.36940443752434 , 2569.0
priority,128,strict,original,123.4765625 , 5.96875 , 129.4453125 , 50.294384057971016 , 221.53846153846155 , 2080.0
priority,128,always_attend,maleable,211.96875 , 39.75 , 251.71875 , 79.58192567567568 , 206.63677130044843 , 2230.0
priority,128,always_attend,original,124.1328125 , 7.0234375 , 131.15625 , 50.0 , 224.12451361867704 , 2056.0
priority,128,max_prop,maleable,233.828125 , 107.3828125 , 341.2109375 , 93.31896551724138 , 172.39057239057237 , 2673.0
priority,128,max_prop,original,132.203125 , 466.203125 , 598.40625 , 86.0054347826087 , 164.86583184257603 , 2795.0
