Model,Policy,Tensorflow,Container,Inter_Parallelism_Request,Intra_Parallelism_Request,Inter_Parallelism_Initial,Intra_Parallelism_Initial,Start_Request,Execution_Start,Execution_Finish,Reassigment_1,Reassigment_1_Inter,Reassigment_1_Intra,Reassigment_2,Reassigment_2_Inter,Reassigment_2_Intra,Update_Request_1,Update_Attention_1,Update_Attention_1_Inter,Update_Attention_1_Intra,Pause_Start_1,Pause_Finish_1,Reassigment_Count,Pause_Count,Update_Count,Request_id,Execution_Time,First_Execution_Time,Wait_Time
keras_example_resnet,max_prop,original,0,1,7,1,15,2022-04-06 19:28:18.127994,2022-04-06 19:28:20.566387,2022-04-06 19:30:01.807798,,,,,,,,,,,,,0,0,0,0,,,
keras_example_resnet,max_prop,original,4,1,7,1,2,2022-04-06 19:29:38.205755,2022-04-06 19:30:23.383430,2022-04-06 19:37:47.818058,,,,,,,,,,,,,0,0,0,4,,,
keras_example_resnet,max_prop,original,5,1,7,1,2,2022-04-06 19:29:58.225781,2022-04-06 19:30:26.561267,2022-04-06 19:37:50.763357,,,,,,,,,,,,,0,0,0,5,,,
keras_example_resnet,max_prop,original,1,1,7,1,2,2022-04-06 19:28:38.145796,2022-04-06 19:30:14.270483,2022-04-06 19:38:01.746165,2022-04-06 19:30:56.644872,1,3,,,,,,,,,,1,0,0,1,,,
keras_example_resnet,max_prop,original,2,1,7,1,2,2022-04-06 19:28:58.165761,2022-04-06 19:30:17.266837,2022-04-06 19:38:04.631962,2022-04-06 19:38:00.778639,1,7,,,,,,,,,,1,0,0,2,,,
keras_example_resnet,max_prop,original,3,1,7,1,2,2022-04-06 19:29:18.185985,2022-04-06 19:30:20.353004,2022-04-06 19:38:08.261778,2022-04-06 19:38:00.778760,1,3,,,,,,,,,,1,0,0,3,,,
keras_example_resnet,max_prop,original,6,1,7,1,1,2022-04-06 19:30:56.645057,2022-04-06 19:38:20.777994,2022-04-06 19:51:19.933029,,,,,,,,,,,,,0,0,0,6,,,
keras_example_resnet,max_prop,original,7,1,7,1,1,2022-04-06 19:31:16.661782,2022-04-06 19:38:23.774003,2022-04-06 19:51:21.181520,,,,,,,,,,,,,0,0,0,7,,,
keras_example_resnet,max_prop,original,8,1,7,1,1,2022-04-06 19:31:36.681777,2022-04-06 19:38:26.675680,2022-04-06 19:51:22.013076,,,,,,,,,,,,,0,0,0,8,,,
keras_example_resnet,max_prop,original,10,1,7,1,1,2022-04-06 19:32:16.721792,2022-04-06 19:38:33.105714,2022-04-06 19:51:26.812053,,,,,,,,,,,,,0,0,0,10,,,
keras_example_resnet,max_prop,original,9,1,7,1,1,2022-04-06 19:31:56.702012,2022-04-06 19:38:29.907532,2022-04-06 19:51:28.472963,,,,,,,,,,,,,0,0,0,9,,,
keras_example_resnet,max_prop,original,11,1,7,1,1,2022-04-06 19:32:36.741885,2022-04-06 19:38:36.399334,2022-04-06 19:51:32.688649,,,,,,,,,,,,,0,0,0,11,,,
keras_example_resnet,max_prop,original,13,1,7,1,1,2022-04-06 19:33:16.781793,2022-04-06 19:38:43.363710,2022-04-06 19:51:34.146934,,,,,,,,,,,,,0,0,0,13,,,
keras_example_resnet,max_prop,original,12,1,7,1,1,2022-04-06 19:32:56.762092,2022-04-06 19:38:39.826468,2022-04-06 19:51:37.822962,,,,,,,,,,,,,0,0,0,12,,,
keras_example_resnet,max_prop,original,14,1,7,1,1,2022-04-06 19:33:36.801782,2022-04-06 19:51:50.583574,2022-04-06 20:04:41.989581,,,,,,,,,,,,,0,0,0,14,,,
keras_example_resnet,max_prop,original,15,1,7,1,1,2022-04-06 19:33:56.813774,2022-04-06 19:51:53.766908,2022-04-06 20:04:45.590807,,,,,,,,,,,,,0,0,0,15,,,
keras_example_resnet,max_prop,original,17,1,7,1,1,2022-04-06 19:34:36.837774,2022-04-06 19:52:00.155350,2022-04-06 20:04:50.374874,,,,,,,,,,,,,0,0,0,17,,,
keras_example_resnet,max_prop,original,16,1,7,1,1,2022-04-06 19:34:16.833809,2022-04-06 19:51:56.966402,2022-04-06 20:04:53.601695,,,,,,,,,,,,,0,0,0,16,,,
keras_example_resnet,max_prop,original,18,1,7,1,1,2022-04-06 19:34:56.858000,2022-04-06 19:52:03.580820,2022-04-06 20:04:59.238996,,,,,,,,,,,,,0,0,0,18,,,
keras_example_resnet,max_prop,original,19,1,7,1,1,2022-04-06 19:35:16.877767,2022-04-06 19:52:07.185532,2022-04-06 20:05:04.237830,,,,,,,,,,,,,0,0,0,19,,,
keras_example_resnet,max_prop,original,20,1,7,1,1,2022-04-06 19:35:36.897780,2022-04-06 19:52:10.594357,2022-04-06 20:05:10.363153,,,,,,,,,,,,,0,0,0,20,,,
keras_example_resnet,max_prop,original,21,1,7,1,1,2022-04-06 19:35:56.918022,2022-04-06 19:52:14.104446,2022-04-06 20:05:10.912179,,,,,,,,,,,,,0,0,0,21,,,
keras_example_resnet,max_prop,original,22,1,7,1,1,2022-04-06 19:36:16.937769,2022-04-06 20:05:23.478968,2022-04-06 20:18:20.993062,,,,,,,,,,,,,0,0,0,22,,,
keras_example_resnet,max_prop,original,23,1,7,1,1,2022-04-06 19:36:36.957989,2022-04-06 20:05:26.475287,2022-04-06 20:18:22.300277,,,,,,,,,,,,,0,0,0,23,,,
keras_example_resnet,max_prop,original,24,1,7,1,1,2022-04-06 19:36:56.977773,2022-04-06 20:05:29.771859,2022-04-06 20:18:27.788740,,,,,,,,,,,,,0,0,0,24,,,
keras_example_resnet,max_prop,original,25,1,7,1,1,2022-04-06 19:37:16.993785,2022-04-06 20:05:33.057571,2022-04-06 20:18:31.136496,,,,,,,,,,,,,0,0,0,25,,,
keras_example_resnet,max_prop,original,26,1,7,1,1,2022-04-06 19:37:37.013764,2022-04-06 20:05:36.405501,2022-04-06 20:18:35.115507,,,,,,,,,,,,,0,0,0,26,,,
keras_example_resnet,max_prop,original,27,1,7,1,1,2022-04-06 19:37:57.025760,2022-04-06 20:05:39.726494,2022-04-06 20:18:40.582929,,,,,,,,,,,,,0,0,0,27,,,
keras_example_resnet,max_prop,original,28,1,7,1,1,2022-04-06 19:38:17.033869,2022-04-06 20:05:42.976659,2022-04-06 20:18:41.375533,,,,,,,,,,,,,0,0,0,28,,,
keras_example_resnet,max_prop,original,29,1,7,1,1,2022-04-06 19:38:43.418853,2022-04-06 20:05:46.326254,2022-04-06 20:18:43.483834,,,,,,,,,,,,,0,0,0,29,,,
keras_example_resnet,max_prop,original,30,1,7,1,7,2022-04-06 19:39:03.439088,2022-04-06 20:18:56.074972,2022-04-06 20:21:46.673896,,,,,,,,,,,,,0,0,0,30,,,
keras_example_resnet,max_prop,original,31,1,7,1,7,2022-04-06 19:39:23.457803,2022-04-06 20:18:59.179471,2022-04-06 20:21:52.470440,,,,,,,,,,,,,0,0,0,31,,,
