Task,Start,Finish,Cores,RequestId
14.5,2022-07-19 16:51:31.003650,2022-07-19 16:51:50.003650,2,
16,2022-07-19 16:52:04.588100,2022-07-19 16:52:40.217500,6,16
-1,2022-07-19 16:52:05.376451,2022-07-19 16:52:05.376677,6,20
17,2022-07-19 16:52:07.488484,2022-07-19 16:52:26.968028,4,17
15.5,2022-07-19 16:51:20.923661,2022-07-19 16:51:51.923661,1,
15.5,2022-07-19 16:51:51.923661,2022-07-19 16:52:12.923661,2,
-1,2022-07-19 16:52:23.497276,2022-07-19 16:52:23.497426,6,21
17,2022-07-19 16:52:26.968035,2022-07-19 16:53:01.896631,6,17
18,2022-07-19 16:52:29.782367,2022-07-19 16:52:50.436340,4,18
16.5,2022-07-19 16:51:45.475168,2022-07-19 16:52:16.475168,1,
16.5,2022-07-19 16:52:16.475168,2022-07-19 16:52:35.475168,2,
-1,2022-07-19 16:52:43.141274,2022-07-19 16:52:43.141425,6,22
18,2022-07-19 16:52:50.436346,2022-07-19 16:53:25.716035,6,18
19,2022-07-19 16:52:53.295643,2022-07-19 16:53:12.072574,4,19
17.5,2022-07-19 16:52:07.488484,2022-07-19 16:52:37.488484,1,
17.5,2022-07-19 16:52:37.488484,2022-07-19 16:52:58.488484,2,
-1,2022-07-19 16:53:10.797298,2022-07-19 16:53:10.797464,6,23
19,2022-07-19 16:53:12.072581,2022-07-19 16:53:46.367133,6,19
20,2022-07-19 16:53:14.911374,2022-07-19 16:53:35.920411,4,20
18.5,2022-07-19 16:52:29.782367,2022-07-19 16:53:01.782367,1,
18.5,2022-07-19 16:53:01.782367,2022-07-19 16:53:21.782367,2,
-1,2022-07-19 16:53:32.121806,2022-07-19 16:53:32.121968,6,24
20,2022-07-19 16:53:35.920418,2022-07-19 16:54:08.696738,6,20
21,2022-07-19 16:53:38.729900,2022-07-19 16:53:56.591920,4,21
19.5,2022-07-19 16:52:53.295643,2022-07-19 16:53:23.295643,1,
19.5,2022-07-19 16:53:23.295643,2022-07-19 16:53:42.295643,2,
21,2022-07-19 16:53:56.591926,2022-07-19 16:54:31.808231,6,21
22,2022-07-19 16:53:59.418106,2022-07-19 16:54:18.923792,4,22
-1,2022-07-19 16:54:05.907969,2022-07-19 16:54:05.908186,6,25
20.5,2022-07-19 16:53:14.911374,2022-07-19 16:53:44.911374,1,
20.5,2022-07-19 16:53:44.911374,2022-07-19 16:54:03.911374,2,
22,2022-07-19 16:54:18.923799,2022-07-19 16:54:54.105106,6,22
-1,2022-07-19 16:54:21.681345,2022-07-19 16:54:21.681591,6,26
