0,0.0,4.9,0.0
30,24.8,6.4,31.25
60,49.2,8.0,62.5
90,72.9,9.5,93.75
120,72.6,9.6,93.75
150,59.5,8.2,93.75
180,56.2,8.4,93.75
210,56.3,8.4,93.75
240,73.8,9.5,93.75
270,72.2,9.5,93.75
300,50.3,8.0,62.5
330,73.0,9.6,93.75
360,49.7,8.0,62.5
390,49.8,8.0,62.5
420,24.6,6.5,31.25
