Task,Start,Finish,Cores
-1,2021-12-16 17:49:07.553421,2021-12-16 17:49:08.554666,2
0,2021-12-16 17:49:10.930792,2021-12-16 17:50:50.992315,16
-1,2021-12-16 17:49:28.574906,2021-12-16 17:49:29.575974,2
-1,2021-12-16 17:49:49.593403,2021-12-16 17:49:50.594454,2
-1,2021-12-16 17:50:10.613405,2021-12-16 17:50:11.614457,2
-1,2021-12-16 17:50:31.633453,2021-12-16 17:50:32.634521,2
-1,2021-12-16 17:50:52.654835,2021-12-16 17:50:53.655903,2
1,2021-12-16 17:51:03.584802,2021-12-16 17:51:45.673659,2
2,2021-12-16 17:51:06.562314,2021-12-16 18:03:27.893323,2
3,2021-12-16 17:51:09.578687,2021-12-16 18:03:29.834378,2
4,2021-12-16 17:51:12.539367,2021-12-16 18:03:51.271767,2
5,2021-12-16 17:51:15.618063,2021-12-16 18:03:58.525639,2
1,2021-12-16 17:51:45.673664,2021-12-16 18:03:17.879666,8
-1,2021-12-16 17:51:45.673857,2021-12-16 17:51:46.674915,2
-1,2021-12-16 17:52:06.695187,2021-12-16 17:52:07.696246,2
-1,2021-12-16 17:52:27.697441,2021-12-16 17:52:28.698501,2
-1,2021-12-16 17:52:48.718753,2021-12-16 17:52:49.719813,2
-1,2021-12-16 17:53:09.740086,2021-12-16 17:53:10.741152,2
-1,2021-12-16 17:53:30.761474,2021-12-16 17:53:31.762545,2
-1,2021-12-16 17:53:51.769457,2021-12-16 17:53:52.770521,2
-1,2021-12-16 17:54:12.773440,2021-12-16 17:54:13.774497,2
-1,2021-12-16 17:54:33.794754,2021-12-16 17:54:34.795811,2
-1,2021-12-16 17:54:54.816060,2021-12-16 17:54:55.817138,2
2,2021-12-16 18:03:27.893331,2021-12-16 18:03:39.848740,10
2,2021-12-16 18:03:39.848744,2021-12-16 18:03:48.937795,12
6,2021-12-16 18:04:11.076281,2021-12-16 18:17:05.483888,2
7,2021-12-16 18:04:14.062511,2021-12-16 18:17:08.937886,2
8,2021-12-16 18:04:17.062984,2021-12-16 18:17:17.424190,2
9,2021-12-16 18:04:20.056833,2021-12-16 18:17:16.741255,2
10,2021-12-16 18:04:23.091349,2021-12-16 18:17:19.767601,2
11,2021-12-16 18:04:26.300010,2021-12-16 18:17:19.191133,2
12,2021-12-16 18:04:29.428985,2021-12-16 18:17:26.090118,2
13,2021-12-16 18:04:32.756839,2021-12-16 18:17:28.629517,2
14,2021-12-16 18:17:41.042400,2021-12-16 18:20:27.253989,8
15,2021-12-16 18:17:43.956699,2021-12-16 18:20:28.124404,8
