Task,Start,Finish,Cores
-1,2021-12-17 14:58:18.059636,2021-12-17 14:58:19.060710,2
0,2021-12-17 14:58:21.497191,2021-12-17 15:00:01.853720,16
-1,2021-12-17 14:58:39.081118,2021-12-17 14:58:40.081278,2
-1,2021-12-17 14:59:00.101518,2021-12-17 14:59:01.102570,2
-1,2021-12-17 14:59:21.121397,2021-12-17 14:59:22.122476,2
-1,2021-12-17 14:59:42.141404,2021-12-17 14:59:43.142453,2
-1,2021-12-17 15:00:03.162715,2021-12-17 15:00:04.163789,2
1,2021-12-17 15:00:14.368596,2021-12-17 15:00:56.409577,2
2,2021-12-17 15:00:17.267398,2021-12-17 15:13:14.654335,2
3,2021-12-17 15:00:20.181033,2021-12-17 15:13:26.325355,2
4,2021-12-17 15:00:23.262201,2021-12-17 15:13:38.395898,2
5,2021-12-17 15:00:26.309037,2021-12-17 15:13:31.117458,2
1,2021-12-17 15:00:56.409582,2021-12-17 15:08:33.008354,8
-1,2021-12-17 15:00:56.409740,2021-12-17 15:00:57.410793,2
-1,2021-12-17 15:01:17.431041,2021-12-17 15:01:18.432096,2
-1,2021-12-17 15:01:38.449414,2021-12-17 15:01:39.450468,2
-1,2021-12-17 15:01:59.470708,2021-12-17 15:02:00.471768,2
-1,2021-12-17 15:02:20.489476,2021-12-17 15:02:21.490537,2
-1,2021-12-17 15:02:41.509387,2021-12-17 15:02:42.510445,2
-1,2021-12-17 15:03:02.529390,2021-12-17 15:03:03.530450,2
-1,2021-12-17 15:03:23.549394,2021-12-17 15:03:24.550449,2
-1,2021-12-17 15:03:44.565427,2021-12-17 15:03:45.566514,2
-1,2021-12-17 15:04:05.585414,2021-12-17 15:04:06.586476,2
6,2021-12-17 15:08:45.791524,2021-12-17 15:21:59.195422,2
7,2021-12-17 15:08:49.173939,2021-12-17 15:21:58.805198,2
8,2021-12-17 15:08:52.698335,2021-12-17 15:22:08.336889,2
9,2021-12-17 15:08:56.140618,2021-12-17 15:22:09.343976,2
10,2021-12-17 15:13:27.615242,2021-12-17 15:26:32.367223,2
11,2021-12-17 15:13:51.268212,2021-12-17 15:27:05.291726,2
12,2021-12-17 15:13:54.712375,2021-12-17 15:27:02.681720,2
13,2021-12-17 15:13:58.148401,2021-12-17 15:27:11.603009,2
14,2021-12-17 15:22:22.234888,2021-12-17 15:27:12.409586,4
15,2021-12-17 15:22:25.540535,2021-12-17 15:27:30.296499,4
14,2021-12-17 15:27:12.409592,2021-12-17 15:27:33.117309,4
