Task,Start,Finish,Cores
-1,2021-12-17 16:03:07.562563,2021-12-17 16:03:08.563641,2
0,2021-12-17 16:03:11.007259,2021-12-17 16:04:53.662637,16
-1,2021-12-17 16:03:28.581502,2021-12-17 16:03:29.582574,2
-1,2021-12-17 16:03:49.602906,2021-12-17 16:03:50.603963,2
-1,2021-12-17 16:04:10.621447,2021-12-17 16:04:11.622506,2
-1,2021-12-17 16:04:31.641459,2021-12-17 16:04:32.642522,2
-1,2021-12-17 16:04:52.661420,2021-12-17 16:04:53.662501,2
1,2021-12-17 16:05:06.275729,2021-12-17 16:05:48.768326,2
2,2021-12-17 16:05:09.257967,2021-12-17 16:17:52.241503,2
3,2021-12-17 16:05:12.464762,2021-12-17 16:17:54.813577,2
4,2021-12-17 16:05:15.566041,2021-12-17 16:17:34.683846,2
5,2021-12-17 16:05:18.688542,2021-12-17 16:18:06.078089,2
1,2021-12-17 16:05:48.768330,2021-12-17 16:17:26.733792,8
-1,2021-12-17 16:05:48.768511,2021-12-17 16:05:49.769570,2
-1,2021-12-17 16:06:09.789821,2021-12-17 16:06:10.790875,2
-1,2021-12-17 16:06:30.811117,2021-12-17 16:06:31.812172,2
-1,2021-12-17 16:06:51.832417,2021-12-17 16:06:52.833468,2
-1,2021-12-17 16:07:12.853743,2021-12-17 16:07:13.854805,2
-1,2021-12-17 16:07:33.875058,2021-12-17 16:07:34.876105,2
-1,2021-12-17 16:07:54.893452,2021-12-17 16:07:55.894500,2
-1,2021-12-17 16:08:15.914741,2021-12-17 16:08:16.915815,2
-1,2021-12-17 16:08:36.921420,2021-12-17 16:08:37.922485,2
-1,2021-12-17 16:08:57.942739,2021-12-17 16:08:58.943794,2
6,2021-12-17 16:17:47.293291,2021-12-17 16:30:45.460710,2
7,2021-12-17 16:17:50.447126,2021-12-17 16:30:45.009347,2
8,2021-12-17 16:17:53.711872,2021-12-17 16:30:46.060224,2
9,2021-12-17 16:17:56.394289,2021-12-17 16:30:49.028942,2
10,2021-12-17 16:17:59.491231,2021-12-17 16:30:51.040099,2
11,2021-12-17 16:18:08.147475,2021-12-17 16:31:07.210623,2
12,2021-12-17 16:18:11.027141,2021-12-17 16:31:03.969006,2
13,2021-12-17 16:18:19.523275,2021-12-17 16:31:10.532915,2
14,2021-12-17 16:31:03.782896,2021-12-17 16:31:37.881683,4
15,2021-12-17 16:31:07.807521,2021-12-17 16:35:51.777504,4
14,2021-12-17 16:31:37.881687,2021-12-17 16:35:53.662262,4
