Task,Start,Finish,Cores
-1,2022-03-16 17:36:48.501340,2022-03-16 17:36:48.501389,8
9.5,2022-03-16 17:33:58.934057,2022-03-16 17:34:38.934057,1
9.5,2022-03-16 17:34:38.934057,2022-03-16 17:35:12.934057,2
9.5,2022-03-16 17:35:12.934057,2022-03-16 17:35:44.934057,1
9.5,2022-03-16 17:35:44.934057,2022-03-16 17:36:16.934057,2
9.5,2022-03-16 17:36:16.934057,2022-03-16 17:36:48.934057,1
10.5,2022-03-16 17:34:01.852866,2022-03-16 17:34:43.852866,1
10.5,2022-03-16 17:34:43.852866,2022-03-16 17:35:16.852866,2
10.5,2022-03-16 17:35:16.852866,2022-03-16 17:35:48.852866,1
10.5,2022-03-16 17:35:48.852866,2022-03-16 17:36:20.852866,2
10.5,2022-03-16 17:36:20.852866,2022-03-16 17:36:52.852866,1
11,2022-03-16 17:37:08.652660,2022-03-16 17:40:00.934942,8
12,2022-03-16 17:37:11.603281,2022-03-16 17:40:04.989391,8
-1,2022-03-16 17:37:36.312127,2022-03-16 17:37:36.312188,8
-1,2022-03-16 17:38:16.507420,2022-03-16 17:38:16.507484,8
-1,2022-03-16 17:39:02.487651,2022-03-16 17:39:02.487719,8
-1,2022-03-16 17:39:36.587639,2022-03-16 17:39:36.587705,8
11.5,2022-03-16 17:37:08.652660,2022-03-16 17:37:49.652660,1
11.5,2022-03-16 17:37:49.652660,2022-03-16 17:38:21.652660,2
11.5,2022-03-16 17:38:21.652660,2022-03-16 17:38:53.652660,1
11.5,2022-03-16 17:38:53.652660,2022-03-16 17:39:25.652660,2
11.5,2022-03-16 17:39:25.652660,2022-03-16 17:39:57.652660,1
12.5,2022-03-16 17:37:11.603281,2022-03-16 17:37:53.603281,1
12.5,2022-03-16 17:37:53.603281,2022-03-16 17:38:25.603281,2
12.5,2022-03-16 17:38:25.603281,2022-03-16 17:38:57.603281,1
12.5,2022-03-16 17:38:57.603281,2022-03-16 17:39:29.603281,2
12.5,2022-03-16 17:39:29.603281,2022-03-16 17:40:00.603281,1
-1,2022-03-16 17:40:13.061418,2022-03-16 17:40:13.061488,8
13,2022-03-16 17:40:17.655558,2022-03-16 17:43:08.099280,8
14,2022-03-16 17:40:20.451000,2022-03-16 17:43:11.495355,8
-1,2022-03-16 17:41:03.527651,2022-03-16 17:41:03.527722,8
-1,2022-03-16 17:41:43.117913,2022-03-16 17:41:43.117968,8
-1,2022-03-16 17:42:29.867606,2022-03-16 17:42:29.867665,8
13.5,2022-03-16 17:40:17.655558,2022-03-16 17:40:55.655558,1
13.5,2022-03-16 17:40:55.655558,2022-03-16 17:41:28.655558,2
13.5,2022-03-16 17:41:28.655558,2022-03-16 17:42:00.655558,1
13.5,2022-03-16 17:42:00.655558,2022-03-16 17:42:32.655558,2
13.5,2022-03-16 17:42:32.655558,2022-03-16 17:43:03.655558,1
14.5,2022-03-16 17:40:20.451000,2022-03-16 17:40:59.451000,1
14.5,2022-03-16 17:40:59.451000,2022-03-16 17:41:33.451000,2
14.5,2022-03-16 17:41:33.451000,2022-03-16 17:42:05.451000,1
14.5,2022-03-16 17:42:05.451000,2022-03-16 17:42:37.451000,2
14.5,2022-03-16 17:42:37.451000,2022-03-16 17:43:08.451000,1
-1,2022-03-16 17:43:17.556268,2022-03-16 17:43:17.556328,8
15,2022-03-16 17:43:24.116627,2022-03-16 17:46:22.944658,8
16,2022-03-16 17:43:27.052374,2022-03-16 17:46:26.055247,8
-1,2022-03-16 17:44:00.315674,2022-03-16 17:44:00.315746,8
-1,2022-03-16 17:44:37.051620,2022-03-16 17:44:37.051706,8
-1,2022-03-16 17:45:17.488208,2022-03-16 17:45:17.488298,8
-1,2022-03-16 17:45:57.135592,2022-03-16 17:45:57.135658,8
15.5,2022-03-16 17:43:24.116627,2022-03-16 17:44:05.116627,1
15.5,2022-03-16 17:44:05.116627,2022-03-16 17:44:40.116627,2
15.5,2022-03-16 17:44:40.116627,2022-03-16 17:45:14.116627,1
15.5,2022-03-16 17:45:14.116627,2022-03-16 17:45:47.116627,2
15.5,2022-03-16 17:45:47.116627,2022-03-16 17:46:19.116627,1
16.5,2022-03-16 17:43:27.052374,2022-03-16 17:44:09.052374,1
16.5,2022-03-16 17:44:09.052374,2022-03-16 17:44:44.052374,2
16.5,2022-03-16 17:44:44.052374,2022-03-16 17:45:18.052374,1
16.5,2022-03-16 17:45:18.052374,2022-03-16 17:45:51.052374,2
16.5,2022-03-16 17:45:51.052374,2022-03-16 17:46:23.052374,1
17,2022-03-16 17:46:38.657351,2022-03-16 17:49:30.545765,8
-1,2022-03-16 17:46:40.077070,2022-03-16 17:46:40.077175,8
18,2022-03-16 17:46:41.549595,2022-03-16 17:49:33.080983,8
-1,2022-03-16 17:47:22.910108,2022-03-16 17:47:22.910201,8
-1,2022-03-16 17:48:00.741388,2022-03-16 17:48:00.741458,8
-1,2022-03-16 17:48:41.207600,2022-03-16 17:48:41.207675,8
-1,2022-03-16 17:49:14.711648,2022-03-16 17:49:14.711722,8
17.5,2022-03-16 17:46:38.657351,2022-03-16 17:47:17.657351,1
17.5,2022-03-16 17:47:17.657351,2022-03-16 17:47:51.657351,2
17.5,2022-03-16 17:47:51.657351,2022-03-16 17:48:23.657351,1
17.5,2022-03-16 17:48:23.657351,2022-03-16 17:48:55.657351,2
17.5,2022-03-16 17:48:55.657351,2022-03-16 17:49:27.657351,1
18.5,2022-03-16 17:46:41.549595,2022-03-16 17:47:20.549595,1
18.5,2022-03-16 17:47:20.549595,2022-03-16 17:47:54.549595,2
18.5,2022-03-16 17:47:54.549595,2022-03-16 17:48:26.549595,1
18.5,2022-03-16 17:48:26.549595,2022-03-16 17:48:57.549595,2
18.5,2022-03-16 17:48:57.549595,2022-03-16 17:49:29.549595,1
19,2022-03-16 17:49:45.632353,2022-03-16 17:52:33.759413,8
20,2022-03-16 17:49:48.524901,2022-03-16 17:52:37.853623,8
-1,2022-03-16 17:50:02.157836,2022-03-16 17:50:02.157929,8
-1,2022-03-16 17:50:47.011598,2022-03-16 17:50:47.011670,8
-1,2022-03-16 17:51:23.447633,2022-03-16 17:51:23.447713,8
-1,2022-03-16 17:51:57.943641,2022-03-16 17:51:57.943728,8
-1,2022-03-16 17:52:31.759604,2022-03-16 17:52:31.759694,8
19.5,2022-03-16 17:49:45.632353,2022-03-16 17:50:23.632353,1
19.5,2022-03-16 17:50:23.632353,2022-03-16 17:50:54.632353,2
19.5,2022-03-16 17:50:54.632353,2022-03-16 17:51:26.632353,1
19.5,2022-03-16 17:51:26.632353,2022-03-16 17:51:58.632353,2
19.5,2022-03-16 17:51:58.632353,2022-03-16 17:52:30.632353,1
20.5,2022-03-16 17:49:48.524901,2022-03-16 17:50:26.524901,1
20.5,2022-03-16 17:50:26.524901,2022-03-16 17:50:58.524901,2
20.5,2022-03-16 17:50:58.524901,2022-03-16 17:51:30.524901,1
20.5,2022-03-16 17:51:30.524901,2022-03-16 17:52:02.524901,2
20.5,2022-03-16 17:52:02.524901,2022-03-16 17:52:34.524901,1
21,2022-03-16 17:52:50.432940,2022-03-16 17:55:43.008232,8
22,2022-03-16 17:52:53.256670,2022-03-16 17:55:46.702548,8
-1,2022-03-16 17:53:15.307639,2022-03-16 17:53:15.307751,8
-1,2022-03-16 17:53:47.261521,2022-03-16 17:53:47.261607,8
-1,2022-03-16 17:54:31.287642,2022-03-16 17:54:31.287740,8
-1,2022-03-16 17:55:05.571605,2022-03-16 17:55:05.571688,8
21.5,2022-03-16 17:52:50.432940,2022-03-16 17:53:29.432940,1
21.5,2022-03-16 17:53:29.432940,2022-03-16 17:54:03.432940,2
21.5,2022-03-16 17:54:03.432940,2022-03-16 17:54:35.432940,1
21.5,2022-03-16 17:54:35.432940,2022-03-16 17:55:07.432940,2
21.5,2022-03-16 17:55:07.432940,2022-03-16 17:55:39.432940,1
-1,2022-03-16 17:55:44.202335,2022-03-16 17:55:44.202449,8
22.5,2022-03-16 17:52:53.256670,2022-03-16 17:53:35.256670,1
22.5,2022-03-16 17:53:35.256670,2022-03-16 17:54:07.256670,2
22.5,2022-03-16 17:54:07.256670,2022-03-16 17:54:39.256670,1
22.5,2022-03-16 17:54:39.256670,2022-03-16 17:55:11.256670,2
22.5,2022-03-16 17:55:11.256670,2022-03-16 17:55:43.256670,1
23,2022-03-16 17:55:59.261256,2022-03-16 17:58:48.757345,8
24,2022-03-16 17:56:02.152216,2022-03-16 17:58:51.364763,8
-1,2022-03-16 17:56:26.503667,2022-03-16 17:56:26.503782,8
-1,2022-03-16 17:57:02.647603,2022-03-16 17:57:02.647691,8
-1,2022-03-16 17:57:38.290871,2022-03-16 17:57:38.290970,8
-1,2022-03-16 17:58:20.915598,2022-03-16 17:58:20.915694,8
23.5,2022-03-16 17:55:59.261256,2022-03-16 17:56:37.261256,1
23.5,2022-03-16 17:56:37.261256,2022-03-16 17:57:08.261256,2
23.5,2022-03-16 17:57:08.261256,2022-03-16 17:57:40.261256,1
23.5,2022-03-16 17:57:40.261256,2022-03-16 17:58:12.261256,2
23.5,2022-03-16 17:58:12.261256,2022-03-16 17:58:45.261256,1
24.5,2022-03-16 17:56:02.152216,2022-03-16 17:56:40.152216,1
24.5,2022-03-16 17:56:40.152216,2022-03-16 17:57:12.152216,2
24.5,2022-03-16 17:57:12.152216,2022-03-16 17:57:44.152216,1
24.5,2022-03-16 17:57:44.152216,2022-03-16 17:58:16.152216,2
24.5,2022-03-16 17:58:16.152216,2022-03-16 17:58:48.152216,1
-1,2022-03-16 17:59:02.300063,2022-03-16 17:59:02.300176,8
25,2022-03-16 17:59:03.939383,2022-03-16 18:01:52.757729,8
26,2022-03-16 17:59:06.892214,2022-03-16 18:01:56.816155,8
-1,2022-03-16 17:59:36.835663,2022-03-16 17:59:36.835775,8
-1,2022-03-16 18:00:17.555613,2022-03-16 18:00:17.555713,8
-1,2022-03-16 18:00:58.515645,2022-03-16 18:00:58.515739,8
-1,2022-03-16 18:01:36.223596,2022-03-16 18:01:36.223690,8
25.5,2022-03-16 17:59:03.939383,2022-03-16 17:59:41.939383,1
25.5,2022-03-16 17:59:41.939383,2022-03-16 18:00:13.939383,2
25.5,2022-03-16 18:00:13.939383,2022-03-16 18:00:45.939383,1
25.5,2022-03-16 18:00:45.939383,2022-03-16 18:01:17.939383,2
25.5,2022-03-16 18:01:17.939383,2022-03-16 18:01:49.939383,1
26.5,2022-03-16 17:59:06.892214,2022-03-16 17:59:45.892214,1
26.5,2022-03-16 17:59:45.892214,2022-03-16 18:00:17.892214,2
26.5,2022-03-16 18:00:17.892214,2022-03-16 18:00:49.892214,1
26.5,2022-03-16 18:00:49.892214,2022-03-16 18:01:21.892214,2
26.5,2022-03-16 18:01:21.892214,2022-03-16 18:01:53.892214,1
27,2022-03-16 18:02:09.370672,2022-03-16 18:05:05.706549,8
28,2022-03-16 18:02:12.423388,2022-03-16 18:05:11.401276,8
-1,2022-03-16 18:02:16.177291,2022-03-16 18:02:16.177394,8
-1,2022-03-16 18:02:47.167626,2022-03-16 18:02:47.167758,8
-1,2022-03-16 18:03:28.831694,2022-03-16 18:03:28.831842,8
-1,2022-03-16 18:04:14.203643,2022-03-16 18:04:14.203757,8
-1,2022-03-16 18:04:58.241593,2022-03-16 18:04:58.241708,8
27.5,2022-03-16 18:02:09.370672,2022-03-16 18:02:50.370672,1
27.5,2022-03-16 18:02:50.370672,2022-03-16 18:03:24.370672,2
