Cores,Intra,Time
1,1,192
1,2,569
1,4,672
1,8,810
1,16,949
1,32,1208
1,64,1825
2,1,188
2,2,248
2,4,286
2,8,397
2,16,473
2,32,583
2,64,898
4,1,189
4,2,246
4,4,140
4,8,183
4,16,238
4,32,305
4,64,505
8,1,187
8,2,249
8,4,137
8,8,123
8,16,125
8,32,159
8,64,240
16,1,187
16,2,247
16,4,141
16,8,123
16,16,103
16,32,91
16,64,130
32,1,188
32,2,246
32,4,140
32,8,123
32,16,99
32,32,87
32,64,77
64,1,190
64,2,247
64,4,137
64,8,123
64,16,104
64,32,86
64,64,77
