Cores_Per_C,Containers,Time
1,1,613
1,2,623
1,4,621
1,8,637
1,16,641
1,32,686
1,48,760
1,64,898
1,80,1029
2,1,405
2,2,400
2,4,418
2,8,445
2,16,484
2,32,563
2,48,809
2,64,1050
2,80,1240
4,1,247
4,2,222
4,4,233
4,8,260
4,16,320
4,32,574
4,48,881
4,64,1120
4,80,1457
8,1,186
8,2,174
8,4,187
8,8,222
8,16,310
8,32,589
8,48,890
8,64,1160
8,80,1488
16,1,144
16,2,153
16,4,148
16,8,194
16,16,304
16,32,623
16,48,907
16,64,1218
16,80,1517
32,1,136
32,2,131
32,4,153
32,8,177
32,16,316
32,32,649
32,48,953
32,64,1187
32,80,1588
48,1,132
48,2,141
48,4,150
48,8,178
48,16,323
48,32,651
48,48,983
48,64,1312
48,80,1629
64,1,120
64,2,131
64,4,137
64,8,171
64,16,316
64,32,632
64,48,1003
64,64,1306
64,80,1627
