Cores_Per_C,Containers,Time
8,16,172
8,32,302
8,48,439
8,64,600
8,80,738
16,16,161
16,32,307
16,48,457
16,64,608
16,80,748
24,32,315
24,48,483
24,64,627
24,80,770
32,16,166
32,32,323
32,48,481
32,64,639
32,80,778
48,16,170
48,32,330
48,48,493
48,64,639
64,16,170
64,32,329
64,48,468
64,64,654
64,80,794
