Task,Start,Finish,Cores,RequestId
-1,2022-04-01 15:59:08.135283,2022-04-01 15:59:08.135291,8,0
0,2022-04-01 15:59:10.639917,2022-04-01 16:00:53.865693,16,0
-1,2022-04-01 15:59:56.061859,2022-04-01 15:59:56.061871,8,1
-1,2022-04-01 16:00:40.221800,2022-04-01 16:00:40.221817,8,2
0.5,2022-04-01 15:59:10.639917,2022-04-01 15:59:49.639917,1,
0.5,2022-04-01 15:59:49.639917,2022-04-01 16:00:25.639917,2,
0.5,2022-04-01 16:00:25.639917,2022-04-01 16:01:02.639917,1,
0.5,2022-04-01 16:01:02.639917,2022-04-01 16:01:47.639917,2,
0.5,2022-04-01 16:01:47.639917,2022-04-01 16:02:43.639917,1,
0.5,2022-04-01 16:02:43.639917,2022-04-01 16:03:22.639917,2,
0.5,2022-04-01 16:03:22.639917,2022-04-01 16:03:54.639917,1,
0.5,2022-04-01 16:03:54.639917,2022-04-01 16:04:27.639917,2,
0.5,2022-04-01 16:04:27.639917,2022-04-01 16:05:11.639917,1,
0.5,2022-04-01 16:05:11.639917,2022-04-01 16:06:08.639917,2,
0.5,2022-04-01 16:06:08.639917,2022-04-01 16:06:47.639917,1,
0.5,2022-04-01 16:06:47.639917,2022-04-01 16:07:18.639917,2,
0.5,2022-04-01 16:07:18.639917,2022-04-01 16:07:51.639917,1,
0.5,2022-04-01 16:07:51.639917,2022-04-01 16:08:32.639917,2,
0.5,2022-04-01 16:08:32.639917,2022-04-01 16:09:25.639917,1,
0.5,2022-04-01 16:09:25.639917,2022-04-01 16:10:05.639917,2,
0.5,2022-04-01 16:10:05.639917,2022-04-01 16:10:37.639917,1,
0.5,2022-04-01 16:10:37.639917,2022-04-01 16:11:09.639917,2,
0.5,2022-04-01 16:11:09.639917,2022-04-01 16:11:41.639917,1,
0.5,2022-04-01 16:11:41.639917,2022-04-01 16:12:13.639917,2,
0.5,2022-04-01 16:12:13.639917,2022-04-01 16:12:38.639917,1,
0.5,2022-04-01 16:12:38.639917,2022-04-01 16:12:56.639917,2,
0.5,2022-04-01 16:12:56.639917,2022-04-01 16:13:14.639917,1,
0.5,2022-04-01 16:13:14.639917,2022-04-01 16:13:32.639917,2,
0.5,2022-04-01 16:13:32.639917,2022-04-01 16:13:50.639917,1,
