Task,Start,Finish,Cores,RequestId
3.5,2022-03-29 18:12:24.208064,2022-03-29 18:13:49.208064,2,
3.5,2022-03-29 18:13:49.208064,2022-03-29 18:15:29.208064,1,
-1,2022-03-29 18:03:00.694036,2022-03-29 18:03:00.694099,8,14
14,2022-03-29 18:03:04.295112,2022-03-29 18:10:32.555563,8,14
-1,2022-03-29 18:03:40.245856,2022-03-29 18:03:40.245908,8,15
15,2022-03-29 18:03:43.981985,2022-03-29 18:10:43.653936,8,15
4.5,2022-03-29 17:56:46.802297,2022-03-29 17:58:00.802297,1,
4.5,2022-03-29 17:58:00.802297,2022-03-29 17:59:10.802297,2,
4.5,2022-03-29 17:59:10.802297,2022-03-29 18:00:35.802297,1,
4.5,2022-03-29 18:00:35.802297,2022-03-29 18:02:15.802297,2,
4.5,2022-03-29 18:02:15.802297,2022-03-29 18:04:12.802297,1,
4.5,2022-03-29 18:04:12.802297,2022-03-29 18:05:22.802297,2,
4.5,2022-03-29 18:05:22.802297,2022-03-29 18:06:32.802297,1,
4.5,2022-03-29 18:06:32.802297,2022-03-29 18:07:58.802297,2,
4.5,2022-03-29 18:07:58.802297,2022-03-29 18:09:43.802297,1,
4.5,2022-03-29 18:09:43.802297,2022-03-29 18:11:50.802297,2,
4.5,2022-03-29 18:11:50.802297,2022-03-29 18:13:02.802297,1,
4.5,2022-03-29 18:13:02.802297,2022-03-29 18:14:15.802297,2,
4.5,2022-03-29 18:14:15.802297,2022-03-29 18:15:40.802297,1,
4.5,2022-03-29 18:15:40.802297,2022-03-29 18:17:29.802297,2,
4.5,2022-03-29 18:17:29.802297,2022-03-29 18:19:32.802297,1,
5.5,2022-03-29 17:57:29.997040,2022-03-29 17:59:10.997040,1,
5.5,2022-03-29 17:59:10.997040,2022-03-29 18:00:23.997040,2,
5.5,2022-03-29 18:00:23.997040,2022-03-29 18:01:09.997040,1,
5.5,2022-03-29 18:01:09.997040,2022-03-29 18:01:41.997040,2,
5.5,2022-03-29 18:01:41.997040,2022-03-29 18:02:16.997040,1,
5.5,2022-03-29 18:02:16.997040,2022-03-29 18:03:34.997040,2,
5.5,2022-03-29 18:03:34.997040,2022-03-29 18:04:50.997040,1,
5.5,2022-03-29 18:04:50.997040,2022-03-29 18:06:24.997040,2,
5.5,2022-03-29 18:06:24.997040,2022-03-29 18:08:14.997040,1,
5.5,2022-03-29 18:08:14.997040,2022-03-29 18:10:21.997040,2,
6.5,2022-03-29 17:57:58.556585,2022-03-29 17:59:19.556585,1,
6.5,2022-03-29 17:59:19.556585,2022-03-29 18:00:44.556585,2,
6.5,2022-03-29 18:00:44.556585,2022-03-29 18:02:29.556585,1,
6.5,2022-03-29 18:02:29.556585,2022-03-29 18:04:36.556585,2,
6.5,2022-03-29 18:04:36.556585,2022-03-29 18:06:35.556585,1,
6.5,2022-03-29 18:06:35.556585,2022-03-29 18:07:59.556585,2,
6.5,2022-03-29 18:07:59.556585,2022-03-29 18:09:30.556585,1,
6.5,2022-03-29 18:09:30.556585,2022-03-29 18:11:20.556585,2,
6.5,2022-03-29 18:11:20.556585,2022-03-29 18:13:28.556585,1,
6.5,2022-03-29 18:13:28.556585,2022-03-29 18:15:30.556585,2,
6.5,2022-03-29 18:15:30.556585,2022-03-29 18:16:52.556585,1,
6.5,2022-03-29 18:16:52.556585,2022-03-29 18:18:18.556585,2,
6.5,2022-03-29 18:18:18.556585,2022-03-29 18:19:59.556585,1,
6.5,2022-03-29 18:19:59.556585,2022-03-29 18:22:00.556585,2,
6.5,2022-03-29 18:22:00.556585,2022-03-29 18:24:00.556585,1,
7.5,2022-03-29 17:58:32.474186,2022-03-29 18:00:01.474186,1,
7.5,2022-03-29 18:00:01.474186,2022-03-29 18:01:34.474186,2,
7.5,2022-03-29 18:01:34.474186,2022-03-29 18:03:32.474186,1,
7.5,2022-03-29 18:03:32.474186,2022-03-29 18:05:40.474186,2,
7.5,2022-03-29 18:05:40.474186,2022-03-29 18:07:29.474186,1,
7.5,2022-03-29 18:07:29.474186,2022-03-29 18:08:58.474186,2,
7.5,2022-03-29 18:08:58.474186,2022-03-29 18:10:35.474186,1,
7.5,2022-03-29 18:10:35.474186,2022-03-29 18:12:27.474186,2,
7.5,2022-03-29 18:12:27.474186,2022-03-29 18:14:40.474186,1,
7.5,2022-03-29 18:14:40.474186,2022-03-29 18:16:44.474186,2,
7.5,2022-03-29 18:16:44.474186,2022-03-29 18:18:16.474186,1,
7.5,2022-03-29 18:18:16.474186,2022-03-29 18:20:00.474186,2,
7.5,2022-03-29 18:20:00.474186,2022-03-29 18:21:58.474186,1,
7.5,2022-03-29 18:21:58.474186,2022-03-29 18:24:00.474186,2,
7.5,2022-03-29 18:24:00.474186,2022-03-29 18:25:45.474186,1,
9.5,2022-03-29 17:59:53.480246,2022-03-29 18:01:43.480246,1,
9.5,2022-03-29 18:01:43.480246,2022-03-29 18:03:34.480246,2,
9.5,2022-03-29 18:03:34.480246,2022-03-29 18:05:34.480246,1,
9.5,2022-03-29 18:05:34.480246,2022-03-29 18:07:20.480246,2,
9.5,2022-03-29 18:07:20.480246,2022-03-29 18:08:46.480246,1,
9.5,2022-03-29 18:08:46.480246,2022-03-29 18:10:38.480246,2,
9.5,2022-03-29 18:10:38.480246,2022-03-29 18:12:45.480246,1,
9.5,2022-03-29 18:12:45.480246,2022-03-29 18:14:53.480246,2,
9.5,2022-03-29 18:14:53.480246,2022-03-29 18:16:44.480246,1,
9.5,2022-03-29 18:16:44.480246,2022-03-29 18:18:20.480246,2,
9.5,2022-03-29 18:18:20.480246,2022-03-29 18:20:14.480246,1,
