0,0.0,2.7,0.0
30,0.0,2.7,0.0
60,35.4,4.2,50.0
90,44.7,5.1,100.0
120,71.2,5.8,100.0
150,84.5,7.3,150.0
180,85.7,8.4,200.0
210,89.5,10.1,250.0
240,88.9,9.6,200.0
270,92.0,11.2,250.0
300,94.0,12.4,300.0
330,94.0,12.0,300.0
360,95.5,14.1,350.0
390,96.0,14.8,400.0
420,97.0,16.3,450.0
450,97.4,17.7,450.0
480,97.5,17.5,450.0
510,98.1,19.0,500.0
540,97.7,17.2,500.0
570,98.0,18.5,550.0
600,98.6,19.8,550.0
630,98.8,21.5,600.0
660,98.3,20.3,550.0
690,98.4,20.3,550.0
720,98.4,20.3,550.0
750,97.8,18.8,500.0
780,97.4,17.1,450.0
810,97.9,17.2,450.0
840,94.8,15.5,400.0
870,95.5,15.8,400.0
900,95.3,15.9,400.0
930,94.3,14.3,350.0
960,89.8,11.1,250.0
990,72.0,7.9,200.0
1020,0.1,2.8,50.0
1050,33.5,4.2,50.0
1080,35.1,4.3,50.0
1110,34.8,4.3,50.0
1140,34.3,4.3,50.0
1170,35.2,4.4,50.0
1200,0.1,2.7,0.0
