Task,Start,Finish,Cores
-1,2022-03-22 14:11:03.452461,2022-03-22 14:11:03.452511,8
-1,2022-03-22 14:11:42.261758,2022-03-22 14:11:42.261807,8
-1,2022-03-22 14:12:19.757750,2022-03-22 14:12:19.757799,8
-1,2022-03-22 14:12:58.313717,2022-03-22 14:12:58.313781,8
-1,2022-03-22 14:13:36.545774,2022-03-22 14:13:36.545826,8
-1,2022-03-22 14:14:21.497858,2022-03-22 14:14:21.497911,8
7.5,2022-03-22 14:01:38.621489,2022-03-22 14:04:18.621489,1
7.5,2022-03-22 14:04:18.621489,2022-03-22 14:06:54.621489,2
7.5,2022-03-22 14:06:54.621489,2022-03-22 14:09:30.621489,1
7.5,2022-03-22 14:09:30.621489,2022-03-22 14:12:05.621489,2
7.5,2022-03-22 14:12:05.621489,2022-03-22 14:14:41.621489,1
8.5,2022-03-22 14:01:42.163279,2022-03-22 14:04:22.163279,1
8.5,2022-03-22 14:04:22.163279,2022-03-22 14:07:03.163279,2
8.5,2022-03-22 14:07:03.163279,2022-03-22 14:09:40.163279,1
8.5,2022-03-22 14:09:40.163279,2022-03-22 14:12:15.163279,2
8.5,2022-03-22 14:12:15.163279,2022-03-22 14:14:50.163279,1
-1,2022-03-22 14:15:02.261792,2022-03-22 14:15:02.261852,8
16,2022-03-22 14:15:08.688894,2022-03-22 14:28:15.662196,2
17,2022-03-22 14:15:12.175013,2022-03-22 14:28:21.380616,2
-1,2022-03-22 14:15:38.725816,2022-03-22 14:15:38.725877,8
9.5,2022-03-22 14:02:58.393435,2022-03-22 14:05:38.393435,1
9.5,2022-03-22 14:05:38.393435,2022-03-22 14:08:16.393435,2
9.5,2022-03-22 14:08:16.393435,2022-03-22 14:10:55.393435,1
9.5,2022-03-22 14:10:55.393435,2022-03-22 14:13:32.393435,2
9.5,2022-03-22 14:13:32.393435,2022-03-22 14:16:09.393435,1
10.5,2022-03-22 14:03:01.935813,2022-03-22 14:05:40.935813,1
10.5,2022-03-22 14:05:40.935813,2022-03-22 14:08:18.935813,2
10.5,2022-03-22 14:08:18.935813,2022-03-22 14:10:55.935813,1
10.5,2022-03-22 14:10:55.935813,2022-03-22 14:13:31.935813,2
10.5,2022-03-22 14:13:31.935813,2022-03-22 14:16:08.935813,1
-1,2022-03-22 14:16:23.461754,2022-03-22 14:16:23.461815,8
18,2022-03-22 14:16:27.400642,2022-03-22 14:29:31.958299,2
19,2022-03-22 14:16:31.168882,2022-03-22 14:29:38.492446,2
4.5,2022-03-22 14:03:28.484449,2022-03-22 14:06:09.484449,1
4.5,2022-03-22 14:06:09.484449,2022-03-22 14:08:49.484449,2
4.5,2022-03-22 14:08:49.484449,2022-03-22 14:11:26.484449,1
4.5,2022-03-22 14:11:26.484449,2022-03-22 14:14:02.484449,2
4.5,2022-03-22 14:14:02.484449,2022-03-22 14:16:37.484449,1
20,2022-03-22 14:16:54.781840,2022-03-22 14:30:01.527615,2
-1,2022-03-22 14:17:06.445800,2022-03-22 14:17:06.445860,8
-1,2022-03-22 14:17:44.561758,2022-03-22 14:17:44.561815,8
-1,2022-03-22 14:18:32.233774,2022-03-22 14:18:32.233832,8
-1,2022-03-22 14:19:15.433743,2022-03-22 14:19:15.433798,8
-1,2022-03-22 14:19:53.102108,2022-03-22 14:19:53.102164,8
-1,2022-03-22 14:20:27.565758,2022-03-22 14:20:27.565814,8
-1,2022-03-22 14:21:06.601752,2022-03-22 14:21:06.601810,8
-1,2022-03-22 14:21:47.169756,2022-03-22 14:21:47.169813,8
-1,2022-03-22 14:22:29.749757,2022-03-22 14:22:29.749813,8
-1,2022-03-22 14:23:16.037754,2022-03-22 14:23:16.037811,8
-1,2022-03-22 14:23:48.105770,2022-03-22 14:23:48.105827,8
13.5,2022-03-22 14:10:46.463321,2022-03-22 14:13:24.463321,1
13.5,2022-03-22 14:13:24.463321,2022-03-22 14:16:00.463321,2
13.5,2022-03-22 14:16:00.463321,2022-03-22 14:18:38.463321,1
13.5,2022-03-22 14:18:38.463321,2022-03-22 14:21:15.463321,2
13.5,2022-03-22 14:21:15.463321,2022-03-22 14:23:52.463321,1
14.5,2022-03-22 14:10:50.145369,2022-03-22 14:13:28.145369,1
14.5,2022-03-22 14:13:28.145369,2022-03-22 14:16:03.145369,2
14.5,2022-03-22 14:16:03.145369,2022-03-22 14:18:40.145369,1
14.5,2022-03-22 14:18:40.145369,2022-03-22 14:21:16.145369,2
14.5,2022-03-22 14:21:16.145369,2022-03-22 14:23:52.145369,1
15.5,2022-03-22 14:10:53.711855,2022-03-22 14:13:33.711855,1
15.5,2022-03-22 14:13:33.711855,2022-03-22 14:16:10.711855,2
15.5,2022-03-22 14:16:10.711855,2022-03-22 14:18:46.711855,1
15.5,2022-03-22 14:18:46.711855,2022-03-22 14:21:22.711855,2
15.5,2022-03-22 14:21:22.711855,2022-03-22 14:23:57.711855,1
21,2022-03-22 14:24:14.495145,2022-03-22 14:37:17.502530,2
22,2022-03-22 14:24:18.109998,2022-03-22 14:37:29.991558,2
23,2022-03-22 14:24:21.691660,2022-03-22 14:37:32.155141,2
-1,2022-03-22 14:24:28.061788,2022-03-22 14:24:28.061860,8
-1,2022-03-22 14:25:09.849766,2022-03-22 14:25:09.849836,8
-1,2022-03-22 14:25:52.005776,2022-03-22 14:25:52.005846,8
-1,2022-03-22 14:26:30.109763,2022-03-22 14:26:30.109834,8
-1,2022-03-22 14:27:09.561756,2022-03-22 14:27:09.561828,8
-1,2022-03-22 14:27:56.549787,2022-03-22 14:27:56.549857,8
16.5,2022-03-22 14:15:08.688894,2022-03-22 14:17:47.688894,1
16.5,2022-03-22 14:17:47.688894,2022-03-22 14:20:23.688894,2
16.5,2022-03-22 14:20:23.688894,2022-03-22 14:22:59.688894,1
16.5,2022-03-22 14:22:59.688894,2022-03-22 14:25:35.688894,2
16.5,2022-03-22 14:25:35.688894,2022-03-22 14:28:11.688894,1
17.5,2022-03-22 14:15:12.175013,2022-03-22 14:17:53.175013,1
17.5,2022-03-22 14:17:53.175013,2022-03-22 14:20:29.175013,2
17.5,2022-03-22 14:20:29.175013,2022-03-22 14:23:05.175013,1
17.5,2022-03-22 14:23:05.175013,2022-03-22 14:25:41.175013,2
17.5,2022-03-22 14:25:41.175013,2022-03-22 14:28:17.175013,1
24,2022-03-22 14:28:34.392668,2022-03-22 14:41:38.773843,2
25,2022-03-22 14:28:38.022891,2022-03-22 14:41:55.023217,2
-1,2022-03-22 14:28:38.985796,2022-03-22 14:28:38.985881,8
-1,2022-03-22 14:29:25.721754,2022-03-22 14:29:25.721833,8
18.5,2022-03-22 14:16:27.400642,2022-03-22 14:19:05.400642,1
18.5,2022-03-22 14:19:05.400642,2022-03-22 14:21:40.400642,2
18.5,2022-03-22 14:21:40.400642,2022-03-22 14:24:15.400642,1
