Task,Start,Finish,Cores,RequestId
-1,2022-04-06 15:20:48.340142,2022-04-06 15:20:49.341226,8,0
0,2022-04-06 15:20:51.856828,2022-04-06 15:22:32.813903,16,0
-1,2022-04-06 15:21:09.357823,2022-04-06 15:21:10.358898,8,1
-1,2022-04-06 15:21:30.377779,2022-04-06 15:21:31.378872,8,2
-1,2022-04-06 15:21:51.397788,2022-04-06 15:21:52.398876,8,3
-1,2022-04-06 15:22:12.417768,2022-04-06 15:22:13.418867,8,4
0.5,2022-04-06 15:20:51.856828,2022-04-06 15:21:18.856828,1,
0.5,2022-04-06 15:21:18.856828,2022-04-06 15:21:38.856828,2,
0.5,2022-04-06 15:21:38.856828,2022-04-06 15:21:56.856828,1,
0.5,2022-04-06 15:21:56.856828,2022-04-06 15:22:14.856828,2,
0.5,2022-04-06 15:22:14.856828,2022-04-06 15:22:32.856828,1,
0.5,2022-04-06 15:22:32.856828,2022-04-06 15:22:57.856828,2,
0.5,2022-04-06 15:22:57.856828,2022-04-06 15:23:15.856828,1,
0.5,2022-04-06 15:23:15.856828,2022-04-06 15:23:33.856828,2,
0.5,2022-04-06 15:23:33.856828,2022-04-06 15:23:51.856828,1,
0.5,2022-04-06 15:23:51.856828,2022-04-06 15:24:09.856828,2,
0.5,2022-04-06 15:24:09.856828,2022-04-06 15:24:34.856828,1,
0.5,2022-04-06 15:24:34.856828,2022-04-06 15:24:54.856828,2,
0.5,2022-04-06 15:24:54.856828,2022-04-06 15:25:12.856828,1,
0.5,2022-04-06 15:25:12.856828,2022-04-06 15:25:30.856828,2,
0.5,2022-04-06 15:25:30.856828,2022-04-06 15:25:48.856828,1,
0.5,2022-04-06 15:25:48.856828,2022-04-06 15:26:13.856828,2,
0.5,2022-04-06 15:26:13.856828,2022-04-06 15:26:31.856828,1,
0.5,2022-04-06 15:26:31.856828,2022-04-06 15:26:49.856828,2,
0.5,2022-04-06 15:26:49.856828,2022-04-06 15:27:07.856828,1,
0.5,2022-04-06 15:27:07.856828,2022-04-06 15:27:25.856828,2,
0.5,2022-04-06 15:27:25.856828,2022-04-06 15:27:51.856828,1,
0.5,2022-04-06 15:27:51.856828,2022-04-06 15:28:10.856828,2,
0.5,2022-04-06 15:28:10.856828,2022-04-06 15:28:28.856828,1,
0.5,2022-04-06 15:28:28.856828,2022-04-06 15:28:46.856828,2,
0.5,2022-04-06 15:28:46.856828,2022-04-06 15:29:04.856828,1,
0.5,2022-04-06 15:29:04.856828,2022-04-06 15:29:29.856828,2,
0.5,2022-04-06 15:29:29.856828,2022-04-06 15:29:47.856828,1,
0.5,2022-04-06 15:29:47.856828,2022-04-06 15:30:05.856828,2,
0.5,2022-04-06 15:30:05.856828,2022-04-06 15:30:23.856828,1,
0.5,2022-04-06 15:30:23.856828,2022-04-06 15:30:41.856828,2,
-1,2022-04-06 15:22:33.437860,2022-04-06 15:22:34.438988,8,5
1,2022-04-06 15:22:45.452669,2022-04-06 15:23:28.130009,3,1
2,2022-04-06 15:22:48.554423,2022-04-06 15:28:40.270274,3,2
3,2022-04-06 15:22:51.654533,2022-04-06 15:29:48.766810,3,3
