Task,Start,Finish,Cores,RequestId
-1,2022-04-05 19:06:40.977143,2022-04-05 19:06:41.978232,8,0
0,2022-04-05 19:06:44.464069,2022-04-05 19:08:26.906361,16,0
-1,2022-04-05 19:07:22.017834,2022-04-05 19:07:23.018926,8,1
-1,2022-04-05 19:07:54.049772,2022-04-05 19:07:55.050859,8,2
0.5,2022-04-05 19:06:44.464069,2022-04-05 19:07:11.464069,1,
0.5,2022-04-05 19:07:11.464069,2022-04-05 19:07:31.464069,2,
0.5,2022-04-05 19:07:31.464069,2022-04-05 19:07:49.464069,1,
0.5,2022-04-05 19:07:49.464069,2022-04-05 19:08:07.464069,2,
0.5,2022-04-05 19:08:07.464069,2022-04-05 19:08:25.464069,1,
0.5,2022-04-05 19:08:25.464069,2022-04-05 19:08:50.464069,2,
0.5,2022-04-05 19:08:50.464069,2022-04-05 19:09:08.464069,1,
0.5,2022-04-05 19:09:08.464069,2022-04-05 19:09:26.464069,2,
0.5,2022-04-05 19:09:26.464069,2022-04-05 19:09:44.464069,1,
0.5,2022-04-05 19:09:44.464069,2022-04-05 19:10:02.464069,2,
0.5,2022-04-05 19:10:02.464069,2022-04-05 19:10:27.464069,1,
0.5,2022-04-05 19:10:27.464069,2022-04-05 19:10:47.464069,2,
0.5,2022-04-05 19:10:47.464069,2022-04-05 19:11:05.464069,1,
0.5,2022-04-05 19:11:05.464069,2022-04-05 19:11:23.464069,2,
0.5,2022-04-05 19:11:23.464069,2022-04-05 19:11:41.464069,1,
0.5,2022-04-05 19:11:41.464069,2022-04-05 19:12:06.464069,2,
0.5,2022-04-05 19:12:06.464069,2022-04-05 19:12:24.464069,1,
0.5,2022-04-05 19:12:24.464069,2022-04-05 19:12:42.464069,2,
0.5,2022-04-05 19:12:42.464069,2022-04-05 19:13:00.464069,1,
0.5,2022-04-05 19:13:00.464069,2022-04-05 19:13:18.464069,2,
0.5,2022-04-05 19:13:18.464069,2022-04-05 19:13:44.464069,1,
0.5,2022-04-05 19:13:44.464069,2022-04-05 19:14:03.464069,2,
0.5,2022-04-05 19:14:03.464069,2022-04-05 19:14:21.464069,1,
0.5,2022-04-05 19:14:21.464069,2022-04-05 19:14:39.464069,2,
0.5,2022-04-05 19:14:39.464069,2022-04-05 19:14:57.464069,1,
-1,2022-04-05 19:08:30.086686,2022-04-05 19:08:31.087793,8,3
1,2022-04-05 19:08:39.471812,2022-04-05 19:09:15.694037,5,1
2,2022-04-05 19:08:42.545127,2022-04-05 19:12:32.113534,5,2
3,2022-04-05 19:08:45.615289,2022-04-05 19:12:32.113653,5,3
1,2022-04-05 19:09:15.694043,2022-04-05 19:12:22.102476,6,1
-1,2022-04-05 19:09:16.129849,2022-04-05 19:09:17.130945,8,4
-1,2022-04-05 19:09:46.157766,2022-04-05 19:09:47.158873,8,5
-1,2022-04-05 19:10:25.193763,2022-04-05 19:10:26.194850,8,6
-1,2022-04-05 19:11:02.229773,2022-04-05 19:11:03.230854,8,7
-1,2022-04-05 19:11:45.269783,2022-04-05 19:11:46.270860,8,8
1.5,2022-04-05 19:09:15.694043,2022-04-05 19:11:50.694043,1,
1.5,2022-04-05 19:11:50.694043,2022-04-05 19:14:24.694043,2,
1.5,2022-04-05 19:14:24.694043,2022-04-05 19:16:36.694043,1,
1.5,2022-04-05 19:16:36.694043,2022-04-05 19:18:13.694043,2,
1.5,2022-04-05 19:18:13.694043,2022-04-05 19:19:50.694043,1,
1.5,2022-04-05 19:19:50.694043,2022-04-05 19:20:29.694043,2,
1.5,2022-04-05 19:20:29.694043,2022-04-05 19:20:59.694043,1,
1.5,2022-04-05 19:20:59.694043,2022-04-05 19:21:29.694043,2,
1.5,2022-04-05 19:21:29.694043,2022-04-05 19:21:58.694043,1,
1.5,2022-04-05 19:21:58.694043,2022-04-05 19:22:27.694043,2,
1.5,2022-04-05 19:22:27.694043,2022-04-05 19:23:04.694043,1,
1.5,2022-04-05 19:23:04.694043,2022-04-05 19:23:36.694043,2,
1.5,2022-04-05 19:23:36.694043,2022-04-05 19:24:06.694043,1,
1.5,2022-04-05 19:24:06.694043,2022-04-05 19:24:36.694043,2,
1.5,2022-04-05 19:24:36.694043,2022-04-05 19:25:07.694043,1,
1.5,2022-04-05 19:25:07.694043,2022-04-05 19:25:58.694043,2,
1.5,2022-04-05 19:25:58.694043,2022-04-05 19:26:40.694043,1,
1.5,2022-04-05 19:26:40.694043,2022-04-05 19:27:20.694043,2,
1.5,2022-04-05 19:27:20.694043,2022-04-05 19:28:06.694043,1,
1.5,2022-04-05 19:28:06.694043,2022-04-05 19:28:46.694043,2,
-1,2022-04-05 19:12:23.308433,2022-04-05 19:12:24.309519,8,9
2,2022-04-05 19:12:32.113545,2022-04-05 19:12:58.345172,8,2
3,2022-04-05 19:12:32.113659,2022-04-05 19:13:01.710611,8,3
-1,2022-04-05 19:12:57.343201,2022-04-05 19:12:58.344305,8,10
2.5,2022-04-05 19:12:32.113545,2022-04-05 19:13:09.113545,1,
2.5,2022-04-05 19:13:09.113545,2022-04-05 19:13:38.113545,2,
2.5,2022-04-05 19:13:38.113545,2022-04-05 19:14:08.113545,1,
2.5,2022-04-05 19:14:08.113545,2022-04-05 19:14:38.113545,2,
2.5,2022-04-05 19:14:38.113545,2022-04-05 19:15:08.113545,1,
2.5,2022-04-05 19:15:08.113545,2022-04-05 19:15:47.113545,2,
2.5,2022-04-05 19:15:47.113545,2022-04-05 19:16:16.113545,1,
2.5,2022-04-05 19:16:16.113545,2022-04-05 19:16:45.113545,2,
2.5,2022-04-05 19:16:45.113545,2022-04-05 19:17:14.113545,1,
