Task,Start,Finish,Cores,RequestId
-1,2022-04-06 00:56:13.453364,2022-04-06 00:56:13.453373,8,0
0,2022-04-06 00:56:15.853761,2022-04-06 00:57:58.168818,16,0
-1,2022-04-06 00:56:53.841903,2022-04-06 00:56:53.841923,8,1
-1,2022-04-06 00:57:25.249797,2022-04-06 00:57:25.249811,8,2
0.5,2022-04-06 00:56:15.853761,2022-04-06 00:56:54.853761,1,
0.5,2022-04-06 00:56:54.853761,2022-04-06 00:57:30.853761,2,
0.5,2022-04-06 00:57:30.853761,2022-04-06 00:58:07.853761,1,
0.5,2022-04-06 00:58:07.853761,2022-04-06 00:58:52.853761,2,
0.5,2022-04-06 00:58:52.853761,2022-04-06 00:59:48.853761,1,
0.5,2022-04-06 00:59:48.853761,2022-04-06 01:00:27.853761,2,
0.5,2022-04-06 01:00:27.853761,2022-04-06 01:00:59.853761,1,
0.5,2022-04-06 01:00:59.853761,2022-04-06 01:01:32.853761,2,
0.5,2022-04-06 01:01:32.853761,2022-04-06 01:02:16.853761,1,
0.5,2022-04-06 01:02:16.853761,2022-04-06 01:03:13.853761,2,
0.5,2022-04-06 01:03:13.853761,2022-04-06 01:03:52.853761,1,
0.5,2022-04-06 01:03:52.853761,2022-04-06 01:04:23.853761,2,
0.5,2022-04-06 01:04:23.853761,2022-04-06 01:04:56.853761,1,
0.5,2022-04-06 01:04:56.853761,2022-04-06 01:05:37.853761,2,
0.5,2022-04-06 01:05:37.853761,2022-04-06 01:06:30.853761,1,
0.5,2022-04-06 01:06:30.853761,2022-04-06 01:07:10.853761,2,
0.5,2022-04-06 01:07:10.853761,2022-04-06 01:07:42.853761,1,
0.5,2022-04-06 01:07:42.853761,2022-04-06 01:08:14.853761,2,
0.5,2022-04-06 01:08:14.853761,2022-04-06 01:08:46.853761,1,
0.5,2022-04-06 01:08:46.853761,2022-04-06 01:09:18.853761,2,
0.5,2022-04-06 01:09:18.853761,2022-04-06 01:09:43.853761,1,
0.5,2022-04-06 01:09:43.853761,2022-04-06 01:10:01.853761,2,
0.5,2022-04-06 01:10:01.853761,2022-04-06 01:10:19.853761,1,
